type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
exploit,12.230,17.553,1.101,9.473,1.197,0.353,-56.73902130126953,-1017.21,-1017.21,-2034.43
exploit,15.414,18.336,2.273,6.347,0.414,1.137,-58.089210510253906,-21.006,-26.908,-47.914
explore,12.531,17.585,0.823,9.206,1.165,0.385,-63.711830139160156,-1014.5,-1014.5,-2029
exploit,15.078,18.307,1.924,6.678,0.443,1.107,-58.97087478637695,-1013.78,-1013.78,-2027.56
exploit,10.837,18.311,2.500,10.944,0.439,1.111,-56.05667495727539,-1019.2,-1019.2,-2038.4
exploit,15.322,18.340,2.121,6.415,0.410,1.140,-56.07442092895508,-18.937,-25.046,-43.983
explore,15.665,18.190,2.406,6.076,0.560,0.990,-79.087646484375,-1013.7,-1013.7,-2027.4
exploit,12.341,17.625,0.952,9.439,1.125,0.425,-60.40858840942383,-200,-200,-400
explore,13.207,18.008,0.042,8.555,0.742,0.808,-80.07756042480469,-1011.7,-1011.7,-2023.4
explore,13.284,18.224,0.166,8.364,0.526,1.024,-73.4771499633789,-1014.3,-1014.3,-2028.6
exploit,15.293,18.333,2.026,6.284,0.417,1.133,-54.85483932495117,-1012.11,-1012.11,-2024.22
exploit,15.390,18.339,2.194,6.405,0.411,1.139,-55.682682037353516,-17.704,-23.906,-41.61
exploit,11.428,18.332,1.849,10.345,0.418,1.132,-61.28343963623047,-14.71,-35.823,-50.533
exploit,10.709,18.348,2.430,11.009,0.403,1.148,-52.84455871582031,-15.602,-37.207,-52.809
exploit,10.727,18.305,2.515,11.022,0.445,1.105,-58.66333770751953,-14.602,-36.801,-51.403
exploit,10.718,18.333,2.454,11.023,0.417,1.133,-54.84365463256836,-14.302,-36.906,-51.208
exploit,10.489,17.564,2.781,11.295,1.186,0.364,-59.97599792480469,-16.8,-40.502,-57.302
explore,10.058,17.901,3.172,11.635,0.910,0.701,-84.76539611816406,-1022.4,-1022.4,-2044.8
exploit,10.906,18.319,2.288,10.791,0.432,1.119,-58.34469985961914,-14.5,-36.61,-51.11
exploit,10.921,18.312,2.384,10.807,0.438,1.112,-58.84381866455078,-14.823,-37.116,-51.939
explore,14.923,17.883,1.692,6.800,0.867,0.683,-93.88916015625,-22.6,-141.102,-163.702
exploit,16.063,18.348,2.766,5.552,0.403,1.148,-63.58346939086914,-21.324,-25.624,-46.948
exploit,10.773,18.348,2.592,10.953,0.402,1.148,-51.88966369628906,-14.807,-50.202,-65.009
exploit,10.541,18.307,2.698,11.177,0.443,1.107,-58.10542297363281,-1019.3,-1019.3,-2038.6
explore,11.727,18.135,1.520,10.006,0.615,0.935,-78.97113037109375,-1022.93,-1022.93,-2045.86
exploit,11.177,18.339,2.144,10.389,0.411,1.139,-53.53681945800781,-14.502,-36.32,-50.822
explore,16.297,17.693,3.060,5.455,1.057,0.493,-76.77850341796875,-1013.8,-1013.8,-2027.61
exploit,10.389,18.329,2.904,11.285,0.421,1.129,-59.25678634643555,-1020.01,-1020.01,-2040.02
exploit,10.621,18.327,2.618,11.084,0.423,1.127,-57.48517608642578,-14.5,-37.104,-51.604
exploit,15.027,18.349,1.830,6.637,0.401,1.149,-58.78385925292969,-17.511,-24.709,-42.22
exploit,15.120,18.335,1.799,6.487,0.415,1.135,-58.869544982910156,-1012.71,-1012.71,-2025.41
exploit,11.243,18.339,1.956,10.462,0.411,1.139,-57.078147888183594,-17.401,-41.537,-58.938
exploit,10.846,18.307,2.349,10.856,0.443,1.107,-58.60509490966797,-14.502,-36.713,-51.215
exploit,10.508,18.336,2.668,11.213,0.414,1.137,-58.017765045166016,-14.308,-36.901,-51.209
exploit,10.524,18.285,2.695,11.215,0.465,1.085,-63.79381561279297,-17.001,-37.702,-54.703
explore,14.367,17.622,1.264,7.366,1.128,0.423,-75.12788391113281,-1013.72,-1013.72,-2027.44
exploit,10.554,18.324,2.690,11.181,0.426,1.125,-59.172821044921875,-14.702,-38.007,-52.709
exploit,10.779,18.299,2.466,10.946,0.451,1.099,-59.325706481933594,-15.919,-39.814,-55.733
explore,16.201,18.264,2.963,5.517,0.486,1.065,-72.08782196044922,-1016.32,-1016.32,-2032.65
exploit,12.337,17.558,0.987,9.451,1.192,0.358,-59.06231689453125,-15.103,-33.604,-48.707
exploit,11.281,18.330,2.079,10.425,0.420,1.130,-56.810035705566406,-14.504,-36.005,-50.509
explore,13.746,18.133,0.540,7.901,0.617,0.933,-82.75405883789062,-1015.21,-1015.21,-2030.42
exploit,7.746,17.322,4.019,12.595,1.124,1.004,-47.02100372314453,-14.504,-52.1,-66.604
exploit,11.302,18.312,1.913,10.349,0.438,1.112,-61.105369567871094,-14.402,-35.903,-50.305
exploit,10.304,18.335,2.860,11.376,0.423,1.135,-62.65263748168945,-14.422,-37.21,-51.632
exploit,10.849,18.337,2.351,10.861,0.413,1.137,-54.25627517700195,-14.472,-36.778,-51.25
exploit,10.775,18.305,2.402,10.917,0.446,1.105,-58.37484359741211,-16.2,-40.303,-56.503
exploit,9.513,17.561,3.653,12.218,1.211,0.361,-64.45243072509766,-16.403,-40.31,-56.713
explore,10.244,18.087,2.949,11.526,0.678,0.887,-81.5567398071289,-1020.2,-1020.2,-2040.41
explore,10.653,18.326,2.567,11.058,0.424,1.126,-56.46296691894531,-14.5,-49.548,-64.048
exploit,10.440,18.331,2.767,11.339,0.419,1.131,-59.7432861328125,-14.701,-39.012,-53.713
exploit,11.220,18.301,1.952,10.511,0.450,1.101,-59.63414764404297,-14.545,-35.746,-50.291
exploit,15.432,18.334,2.206,6.329,0.416,1.134,-59.504310607910156,-19.112,-25.023,-44.135
exploit,10.972,18.307,2.194,10.768,0.443,1.107,-57.34465026855469,-15.701,-39.513,-55.214
exploit,12.359,17.627,0.904,9.390,1.123,0.428,-62.75349426269531,-14.802,-33.003,-47.805
exploit,12.321,17.561,1.097,9.357,1.189,0.362,-61.06253433227539,-200,-200,-400
exploit,15.441,18.337,2.201,6.352,0.413,1.137,-57.343360900878906,-19.803,-26.2,-46.003
explore,13.391,17.749,0.364,8.370,1.001,0.549,-90.03810119628906,-23.304,-141.208,-164.512
exploit,10.949,18.345,2.214,10.717,0.405,1.145,-52.96794128417969,-14.414,-37.113,-51.527
exploit,11.184,18.322,2.090,10.493,0.428,1.122,-55.92432403564453,-1018.81,-1018.81,-2037.62
exploit,12.400,17.611,0.896,9.346,1.139,0.411,-63.00258255004883,-14.6,-32.817,-47.417
exploit,9.344,17.560,3.981,12.434,1.191,0.360,-61.50876235961914,-14.7,-40.816,-55.516
explore,15.870,17.662,2.678,5.843,1.089,0.462,-84.14614868164062,-1011.61,-1011.61,-2023.21
exploit,10.954,18.349,2.239,10.768,0.401,1.150,-53.42626190185547,-14.343,-36.649,-50.992
exploit,11.093,18.319,2.134,10.576,0.431,1.119,-59.210418701171875,-14.503,-36.912,-51.415
exploit,10.617,17.573,2.586,11.118,1.177,0.373,-66.68402099609375,-16.501,-38.903,-55.404
